Seat,ALP ,LNP,Other,OTHER Party,Winning Party
Adelaide,41.79,35.06,23.15,GRN,ALP
Ballarat,49.05,33.53,17.42,GRN,ALP
Barton,53.23,31.83,14.94,GRN,ALP
Bean,46.47,34.31,19.22,GRN,ALP
Bendigo,47.72,34.93,17.34,GRN,ALP
Bennelong,39.61,45.68,14.71,GRN,ALP
Boothby,35.88,42.51,21.61,GRN,ALP
Brand,54.47,28.42,17.1,GRN,ALP
Burt,55.13,29.68,15.19,GRN,ALP
Canberra,47.13,25.34,27.54,GRN,ALP
Chisholm,42.64,41.09,16.27,GRN,ALP
Cooper,44.72,20.73,34.55,GRN,ALP
Corangamite,41.28,39.69,19.03,GRN,ALP
Corio,46.38,33.04,20.58,GRN,ALP
Cowan,49.65,36.05,14.31,GRN,ALP
Cunningham,43.27,31.72,25.01,GRN,ALP
Dunkley,44.45,40.58,14.97,GRN,ALP
Eden-Monaro,47.58,39.71,12.71,GRN,ALP
Fenner,49.88,31.57,18.56,GRN,ALP
Franklin,43.52,33.23,23.25,GRN,ALP
Fraser,45.03,30.11,24.86,GRN,ALP
Fremantle,47.77,29.23,23,GRN,ALP
Gellibrand,45.98,33.72,20.3,GRN,ALP
Gilmore,39.3,46.99,13.71,GRN,ALP
Grayndler,55.7,18.79,25.52,GRN,ALP
Hasluck,43.36,39.07,17.57,GRN,ALP
Hawke,48.43,32.7,18.86,GRN,ALP
Higgins,30.02,44.76,25.23,GRN,ALP
Hindmarsh,45.27,36.98,17.74,GRN,ALP
Hotham,51.43,33,15.57,GRN,ALP
Isaacs,43.46,39.59,16.95,GRN,ALP
Jagajaga,44.81,35.15,20.03,GRN,ALP
Kingsford Smith,49.27,32.14,18.59,GRN,ALP
Kingston,53.04,30.82,16.15,GRN,ALP
Lilley,44.26,35.54,20.2,GRN,ALP
Lingiari,40.73,43.67,15.6,GRN,ALP
Macnamara,33.48,33.67,32.84,GRN,ALP
Macquarie,46.99,40.44,12.57,GRN,ALP
Makin,49.73,36.13,14.13,GRN,ALP
Maribyrnong,45.43,34.54,20.03,GRN,ALP
McEwen,39.82,41.94,18.24,GRN,ALP
Moreton,39.5,37.5,23,GRN,ALP
Newcastle,46.72,29.01,24.27,GRN,ALP
Oxley,48.5,33.99,17.51,GRN,ALP
Parramatta,44.49,42.77,12.74,GRN,ALP
Pearce,46.19,37.02,16.79,GRN,ALP
Perth,42.67,31.43,25.9,GRN,ALP
Rankin,47.77,35.94,16.3,GRN,ALP
Reid,45.03,42.68,12.29,GRN,ALP
Richmond,33.45,35.63,30.92,GRN,ALP
Robertson,41.06,45.02,13.92,GRN,ALP
Shortland,44.3,40.92,14.78,GRN,ALP
Solomon,44.05,35.76,20.2,GRN,ALP
Swan,43.16,37.67,19.17,GRN,ALP
Sydney,52.46,22.24,25.3,GRN,ALP
Tangney,40.59,44.98,14.43,GRN,ALP
Whitlam,49.52,36.3,14.18,GRN,ALP
Wills,42.62,21.75,35.63,GRN,ALP
Brisbane,28.43,41.48,30.09,GRN,GRN
Griffith,29.71,33.91,36.37,GRN,GRN
Ryan,23.76,42.97,33.26,GRN,GRN
Melbourne,26.98,18.38,54.65,GRN,GRN
Aston,35.06,49.62,15.32,GRN,LNP
Banks,38.08,50.71,11.21,GRN,LNP
Bass,35.56,47.55,16.89,GRN,LNP
Berowra,25.41,55.33,19.26,GRN,LNP
Bonner,31.19,49.9,18.9,GRN,LNP
Bowman,32.07,49.81,18.11,GRN,LNP
Canning,35.85,50.32,13.83,GRN,LNP
Casey,30.41,46.41,23.18,GRN,LNP
Cook,27.89,59.45,12.66,GRN,LNP
Deakin,35.06,47.59,17.34,GRN,LNP
